ticker,metric,horizon_years,series_basis,n_points,start_date,start_value,end_date,end_value,span_years,cagr_pct
A,eps,3,ttm,68,2023-07-31,3.822460629921259,2026-07-31,5.07,3.0006844626967832,9.869964972280743
A,eps,5,ttm,68,2021-07-31,3.1937007874015744,2026-07-31,5.07,4.999315537303217,9.68525336861983
A,eps,10,ttm,68,2016-07-31,1.4371653543307086,2026-07-31,5.07,9.998631074606434,13.437753680376275
A,fcf,3,ttm,69,2023-07-31,1420000000.0,2026-07-31,1267000000.0,3.0006844626967832,-3.7280309020399582
A,fcf,5,ttm,69,2021-07-31,1268000000.0,2026-07-31,1267000000.0,4.999315537303217,-0.015780008682197977
A,fcf,10,ttm,69,2016-07-31,686000000.0,2026-07-31,1267000000.0,9.998631074606434,6.328306761008906
A,net_income,3,ttm,70,2023-07-31,1133000000.0,2026-07-31,1440000000.0,3.0006844626967832,8.318576287742774
A,net_income,5,ttm,70,2021-07-31,990000000.0,2026-07-31,1440000000.0,4.999315537303217,7.782912613116566
A,net_income,10,ttm,70,2016-07-31,476000000.0,2026-07-31,1440000000.0,9.998631074606434,11.707449472161757
A,ocf,3,ttm,69,2023-07-31,1704000000.0,2026-07-31,1609000000.0,3.0006844626967832,-1.8935911444916131
A,ocf,5,ttm,69,2021-07-31,1421000000.0,2026-07-31,1609000000.0,4.999315537303217,2.51652366437225
A,ocf,10,ttm,69,2016-07-31,800000000.0,2026-07-31,1609000000.0,9.998631074606434,7.238507370764946
A,revenue,3,ttm,70,2023-07-31,6994000000.0,2026-07-31,7372000000.0,3.0006844626967832,1.769621994381998
A,revenue,5,ttm,70,2021-07-31,6142000000.0,2026-07-31,7372000000.0,4.999315537303217,3.7187498905610683
A,revenue,10,ttm,70,2016-07-31,4126000000.0,2026-07-31,7372000000.0,9.998631074606434,5.976375281550639
AAPL,eps,3,ttm,68,2023-07-01,5.970493685419059,2026-06-27,8.74,2.9897330595482545,13.594292357513925
AAPL,eps,5,ttm,68,2021-06-26,5.12760045924225,2026-06-27,8.74,5.002053388090349,11.25010676059528
AAPL,eps,10,ttm,68,2016-06-25,2.1473708381171064,2026-06-27,8.74,10.004106776180699,15.062925895708656
AAPL,fcf,3,ttm,69,2023-07-01,100987000000.0,2026-06-27,136683000000.0,2.9897330595482545,10.653922112949665
AAPL,fcf,5,ttm,69,2021-06-26,94768000000.0,2026-06-27,136683000000.0,5.002053388090349,7.59634007130674
AAPL,fcf,10,ttm,69,2016-06-25,50798000000.0,2026-06-27,136683000000.0,10.004106776180699,10.400017541798912
AAPL,net_income,3,ttm,70,2023-07-01,94760000000.0,2026-06-27,128930000000.0,2.9897330595482545,10.848389626924181
AAPL,net_income,5,ttm,70,2021-06-26,86802000000.0,2026-06-27,128930000000.0,5.002053388090349,8.23076872094488
AAPL,net_income,10,ttm,70,2016-06-25,47797000000.0,2026-06-27,128930000000.0,10.004106776180699,10.427602522380441
AAPL,ocf,3,ttm,69,2023-07-01,113072000000.0,2026-06-27,146724000000.0,2.9897330595482545,9.105056482168127
AAPL,ocf,5,ttm,69,2021-06-26,104414000000.0,2026-06-27,146724000000.0,5.002053388090349,7.037598093278241
