ticker,date,type,detail
A,2008-10-31,dilution,+91379210.3% shares
A,2009-10-31,buyback,-6.7% shares
A,2014-11-03,split,1.398:1
AAPL,1987-06-16,split,2:1
AAPL,2000-06-21,split,2:1
AAPL,2005-02-28,split,2:1
AAPL,2012-09-29,dilution,+606.5% shares
AAPL,2014-06-09,split,7:1
AAPL,2014-09-27,buyback,-6.1% shares
AAPL,2015-09-26,buyback,-5.4% shares
AAPL,2016-09-24,buyback,-5.1% shares
AAPL,2018-09-29,dilution,+280.8% shares
AAPL,2019-09-28,buyback,-7.0% shares
AAPL,2020-08-31,split,4:1
AAPL,2020-09-26,buyback,-5.7% shares
ABBV,2020-12-31,dilution,+12.7% shares
ABBV,2021-12-31,dilution,+6.2% shares
ABNB,2020-12-31,dilution,+9.0% shares
ABNB,2021-12-31,dilution,+116.9% shares
ABNB,2022-12-31,dilution,+10.4% shares
ABT,1981-06-01,split,2:1
ABT,1986-06-02,split,2:1
ABT,1990-06-01,split,2:1
ABT,1992-06-01,split,2:1
ABT,1998-06-01,split,2:1
ABT,2004-05-03,split,1.06883:1
ABT,2013-01-02,split,2.0842:1
ABT,2017-12-31,dilution,+17.9% shares
ACGL,2009-12-31,dilution,+186.7% shares
ACGL,2010-12-31,buyback,-15.2% shares
ACGL,2011-05-12,split,3:1
ACGL,2011-12-31,buyback,-12.2% shares
ACGL,2015-12-31,buyback,-6.6% shares
ACGL,2016-12-31,dilution,+196.9% shares
ACGL,2017-12-31,dilution,+11.7% shares
ACGL,2018-06-21,split,3:1
ACGL,2022-12-31,buyback,-5.7% shares
ADBE,1987-03-12,split,2:1
ADBE,1988-11-23,split,2:1
ADBE,1993-08-11,split,2:1
ADBE,1999-10-27,split,2:1
ADBE,2000-10-25,split,2:1
ADBE,2005-05-24,split,2:1
ADBE,2008-11-28,buyback,-8.4% shares
ADBE,2025-11-28,buyback,-5.0% shares
ADI,1980-04-16,split,1.25:1
ADI,1981-04-07,split,1.25:1
ADI,1982-04-13,split,1.25:1
ADI,1983-04-05,split,1.5:1
ADI,1984-04-17,split,1.33333:1
ADI,1986-04-15,split,1.33333:1
ADI,1995-01-05,split,1.5:1
ADI,1996-01-04,split,1.5:1
ADI,1997-01-07,split,1.33333:1
ADI,2000-03-16,split,2:1
ADI,2008-11-01,buyback,-10.6% shares
ADI,2017-10-28,dilution,+12.2% shares
ADI,2018-11-03,dilution,+7.0% shares
ADI,2021-10-30,dilution,+7.9% shares
ADI,2022-10-29,dilution,+30.4% shares
ADM,1980-10-27,split,1.05:1
ADM,1981-03-23,split,1.5:1
