ticker,fy_end,revenue,net_income,ebit,ocf,capex,fcf,assets,equity,total_debt,cash,dividends_paid,eps
A,2020-10-31,5339000000.0,719000000.0,846000000.0,921000000.0,119000000.0,802000000.0,9627000000.0,4873000000.0,2359000000.0,1441000000.0,222000000.0,2.3
A,2021-10-31,6319000000.0,1210000000.0,1347000000.0,1485000000.0,188000000.0,1297000000.0,10705000000.0,5389000000.0,2729000000.0,1484000000.0,236000000.0,3.9399999999999995
A,2022-10-31,6848000000.0,1254000000.0,1618000000.0,1312000000.0,291000000.0,1021000000.0,10532000000.0,5305000000.0,2769000000.0,1053000000.0,250000000.0,4.18
A,2023-10-31,6833000000.0,1240000000.0,1350000000.0,1772000000.0,298000000.0,1474000000.0,10763000000.0,5845000000.0,2735000000.0,1590000000.0,265000000.0,4.19
A,2024-10-31,6510000000.0,1289000000.0,1488000000.0,1751000000.0,378000000.0,1373000000.0,11846000000.0,5898000000.0,3390000000.0,1329000000.0,274000000.0,4.43
A,2025-10-31,6948000000.0,1303000000.0,1479000000.0,1559000000.0,407000000.0,1152000000.0,12727000000.0,6741000000.0,3354000000.0,1789000000.0,282000000.0,4.57
AAPL,2020-09-26,274515000000.0,57411000000.0,66288000000.0,80674000000.0,7309000000.0,73365000000.0,323888000000.0,65339000000.0,107440000000.0,38016000000.0,14081000000.0,3.27
AAPL,2021-09-25,365817000000.0,94680000000.0,108949000000.0,104038000000.0,11085000000.0,92953000000.0,351002000000.0,63090000000.0,118719000000.0,34940000000.0,14467000000.0,5.61
AAPL,2022-09-24,394328000000.0,99803000000.0,119437000000.0,122151000000.0,10708000000.0,111443000000.0,352755000000.0,50672000000.0,110087000000.0,23646000000.0,14841000000.0,6.11
AAPL,2023-09-30,383285000000.0,96995000000.0,114301000000.0,110543000000.0,10959000000.0,99584000000.0,352583000000.0,62146000000.0,105103000000.0,29965000000.0,15025000000.0,6.13
AAPL,2024-09-28,391035000000.0,93736000000.0,123216000000.0,118254000000.0,9447000000.0,108807000000.0,364980000000.0,56950000000.0,96662000000.0,29943000000.0,15234000000.0,6.08
AAPL,2025-09-27,416161000000.0,112010000000.0,133050000000.0,111482000000.0,12715000000.0,98767000000.0,359241000000.0,73733000000.0,90678000000.0,35934000000.0,15421000000.0,7.46
ABBV,2020-12-31,45804000000.0,4616000000.0,11363000000.0,17588000000.0,798000000.0,16790000000.0,150565000000.0,13076000000.0,77588000000.0,8449000000.0,7716000000.0,2.86
ABBV,2021-12-31,56197000000.0,11542000000.0,17924000000.0,22777000000.0,787000000.0,21990000000.0,146529000000.0,15408000000.0,64203000000.0,9746000000.0,9261000000.0,6.45
ABBV,2022-12-31,58054000000.0,11836000000.0,18117000000.0,24943000000.0,695000000.0,24248000000.0,138805000000.0,17254000000.0,59136000000.0,9201000000.0,10043000000.0,6.609999999999999
ABBV,2023-12-31,54318000000.0,4863000000.0,12757000000.0,22839000000.0,777000000.0,22062000000.0,134711000000.0,10360000000.0,52194000000.0,12814000000.0,10539000000.0,2.73
ABBV,2024-12-31,56334000000.0,4278000000.0,9137000000.0,18806000000.0,974000000.0,17832000000.0,135161000000.0,3325000000.0,60340000000.0,5524000000.0,11025000000.0,2.4
ABBV,2025-12-31,61160000000.0,4226000000.0,15075000000.0,19030000000.0,1214000000.0,17816000000.0,133960000000.0,-3270000000.0,61440000000.0,5229000000.0,11657000000.0,2.36
ABNB,2020-12-31,3378000000.0,-4585000000.0,-3590000000.0,-740000000.0,37000000.0,-777000000.0,10491499000.0,2901000000.0,1825562000.0,5480557000.0,,-16.12
ABNB,2021-12-31,5992000000.0,-352034000.0,429000000.0,2313000000.0,25000000.0,2288000000.0,13708000000.0,4775000000.0,1983000000.0,6067000000.0,,-0.57
ABNB,2022-12-31,8399000000.0,1893105000.0,1802000000.0,3430000000.0,25000000.0,3405000000.0,16038000000.0,5560000000.0,1987000000.0,7378000000.0,,2.79
ABNB,2023-12-31,9917000000.0,4791795000.0,1518000000.0,3884000000.0,,,20645000000.0,8165000000.0,1991000000.0,6874000000.0,,7.24
ABNB,2024-12-31,11102000000.0,2648349000.0,2553000000.0,4518000000.0,,,20959000000.0,8412000000.0,1995000000.0,6864000000.0,,4.11
