ticker,motivo
AEP,non risolto su EDGAR (ticker->CIK o 404)
ALM,nessun tag EPS ne' utile netto in us-gaap (possibile filer estero/IFRS)
AS,nessun tag EPS ne' utile netto in us-gaap (possibile filer estero/IFRS)
ASND,nessun tag EPS ne' utile netto in us-gaap (possibile filer estero/IFRS)
AU,nessun tag EPS ne' utile netto in us-gaap (possibile filer estero/IFRS)
AUGO,nessun tag EPS ne' utile netto in us-gaap (possibile filer estero/IFRS)
BEPC,nessun tag EPS ne' utile netto in us-gaap (possibile filer estero/IFRS)
BIRK,nessun tag EPS ne' utile netto in us-gaap (possibile filer estero/IFRS)
BLSH,nessun tag EPS ne' utile netto in us-gaap (possibile filer estero/IFRS)
DOX,serie EPS EDGAR obsoleta: ultimo dato 677 giorni fa (soglia 420 per una serie ttm); tipico delle societa' che hanno iniziato a taggare l'EPS per classe di azioni
FLO,serie EPS EDGAR obsoleta: ultimo dato 4970 giorni fa (soglia 420 per una serie ttm); tipico delle societa' che hanno iniziato a taggare l'EPS per classe di azioni
GFS,nessun tag EPS ne' utile netto in us-gaap (possibile filer estero/IFRS)
GLOB,nessun tag EPS ne' utile netto in us-gaap (possibile filer estero/IFRS)
HONA,EPS non esposto dalle API XBRL (taggato per classe di azioni) e numero di azioni non ricavabile per derivarlo dall'utile netto
MASI,non risolto su EDGAR (ticker->CIK o 404)
MWH,"nessun EPS utilizzabile; tag presenti ma non usabili: EarningsPerShareBasic, EarningsPerShareDiluted, CommonStockParOrStatedValuePerShare"
NU,nessun tag EPS ne' utile netto in us-gaap (possibile filer estero/IFRS)
ONON,nessun tag EPS ne' utile netto in us-gaap (possibile filer estero/IFRS)
OZK,non risolto su EDGAR (ticker->CIK o 404)
SPCX,"nessun EPS utilizzabile; tag presenti ma non usabili: EarningsPerShareBasic, EarningsPerShareDiluted, PreferredStockParOrStatedValuePerShare, TemporaryEquityParOrStatedValuePerShare"
SPOT,nessun tag EPS ne' utile netto in us-gaap (possibile filer estero/IFRS)
TIGO,nessun tag EPS ne' utile netto in us-gaap (possibile filer estero/IFRS)
VGNT,"nessun EPS utilizzabile; tag presenti ma non usabili: CommonStockParOrStatedValuePerShare, EarningsPerShareBasic, EarningsPerShareDiluted, PreferredStockParOrStatedValuePerShare"
VIK,nessun tag EPS ne' utile netto in us-gaap (possibile filer estero/IFRS)
XE,EPS non esposto dalle API XBRL (taggato per classe di azioni) e numero di azioni non ricavabile per derivarlo dall'utile netto
XP,nessun tag EPS ne' utile netto in us-gaap (possibile filer estero/IFRS)
